,dur,staA_id,staA_name,staB_id,staB_name,veh_id,passen_type,passen_gender,travel_date,travel_id,veh_count
0,12 minutes,81,Berry St at 4th St,323,Broadway at Kearny,5480,2,Male,4/21/2017,16941,19
1,24 minutes,3,Powell St BART Station (Market St at 4th St),118,Eureka Valley Recreation Center,5193,2,Male,2/13/2020,7334,16
2,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,3652,3,Male,6/25/2020,24934,27
3,4 minutes,16,Steuart St at Market St,28,The Embarcadero at Bryant St,1883,1,Male,10/8/2021,25532,27
4,11 minutes,22,Howard St at Beale St,350,8th St at Brannan St,4626,2,Male,12/14/2019,7385,29
5,10 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,3279,2,Male,5/18/2018,12525,3
6,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),107,17th St at Dolores St,1035,2,Male,4/17/2021,6673,5
7,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),97,14th St at Mission St,5286,2,Male,7/16/2019,17131,32
8,21 minutes,81,Berry St at 4th St,16,Steuart St at Market St,2124,1,Female,3/10/2021,21037,29
9,5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),62,Victoria Manalo Draves Park,333,1,Male,1/27/2018,9218,33
10,19 minutes,81,Berry St at 4th St,16,Steuart St at Market St,1883,2,Male,11/12/2021,16540,16
11,6 minutes,3,Powell St BART Station (Market St at 4th St),26,1st St at Folsom St,5331,1,Male,12/22/2020,11082,28
12,7 minutes,3,Powell St BART Station (Market St at 4th St),27,Beale St at Harrison St,1863,3,Male,8/3/2021,20536,20
13,187 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),355,23rd St at Tennessee St,674,2,Female,4/16/2018,22627,18
14,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),74,Laguna St at Hayes St,5487,2,Male,10/7/2017,12894,13
15,4 minutes,3,Powell St BART Station (Market St at 4th St),321,5th St at Folsom,1606,2,Male,1/9/2019,7324,23
16,32 minutes,22,Howard St at Beale St,122,19th St at Mission St,3661,3,Male,7/4/2017,19988,30
17,5 minutes,22,Howard St at Beale St,11,Davis St at Jackson St,4969,3,Male,5/9/2017,4816,38
18,16 minutes,16,Steuart St at Market St,42,San Francisco City Hall (Polk St at Grove St),5000,2,Female,4/24/2019,3406,3
19,17 minutes,16,Steuart St at Market St,42,San Francisco City Hall (Polk St at Grove St),5230,2,Male,4/20/2019,15779,4
20,16 minutes,16,Steuart St at Market St,58,Market St at 10th St,2033,3,Male,3/4/2021,3057,5
21,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),364,China Basin St at 3rd St,5055,3,Male,8/6/2021,19648,27
22,10 minutes,5,Powell St BART Station (Market St at 5th St),356,Valencia St at Clinton Park,2165,2,Male,2/7/2017,21610,0
23,3 minutes,16,Steuart St at Market St,20,Mechanics Monument Plaza (Market St at Bush St),2403,2,Male,4/27/2020,9951,37
24,11 minutes,3,Powell St BART Station (Market St at 4th St),109,17th St at Valencia St,4980,1,Male,12/25/2019,11515,0
25,3 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,2409,3,Female,6/13/2019,10701,39
26,12 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),370,Jones St at Post St,2852,3,Male,12/14/2019,21554,27
27,7 minutes,3,Powell St BART Station (Market St at 4th St),61,Howard St at 8th St,2459,2,Male,9/23/2021,8469,17
28,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,5193,3,Male,8/16/2018,8714,23
29,6 minutes,81,Berry St at 4th St,116,Mississippi St at 17th St,903,1,Male,4/24/2017,7442,14
30,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),323,Broadway at Kearny,5218,1,Female,5/22/2018,6930,39
31,9 minutes,5,Powell St BART Station (Market St at 5th St),15,San Francisco Ferry Building (Harry Bridges Plaza),2177,3,Male,5/12/2020,11771,30
32,12 minutes,3,Powell St BART Station (Market St at 4th St),102,Irwin St at 8th St,5130,3,Male,11/25/2017,19188,10
33,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),76,McCoppin St at Valencia St,3397,3,Male,6/19/2020,8276,34
34,11 minutes,81,Berry St at 4th St,356,Valencia St at Clinton Park,5504,2,Male,2/14/2018,10824,12
35,11 minutes,3,Powell St BART Station (Market St at 4th St),74,Laguna St at Hayes St,531,2,Male,5/2/2021,3634,31
36,4 minutes,3,Powell St BART Station (Market St at 4th St),321,5th St at Folsom,3385,2,Female,11/21/2019,11282,23
37,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),50,2nd St at Townsend St,2568,2,Male,9/25/2018,3134,13
38,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),343,Bryant St at 2nd St,2804,1,Male,6/9/2020,2160,15
39,7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),130,22nd St Caltrain Station,5213,1,Male,10/8/2021,15236,31
40,4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),321,5th St at Folsom,1575,1,Male,3/24/2018,627,22
41,12 minutes,3,Powell St BART Station (Market St at 4th St),6,The Embarcadero at Sansome St,2899,1,Female,1/1/2018,12895,27
42,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),50,2nd St at Townsend St,1894,2,Male,3/2/2019,9956,13
43,3 minutes,30,San Francisco Caltrain (Townsend St at 4th St),50,2nd St at Townsend St,2960,1,Female,9/23/2021,24009,25
44,2 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),80,Townsend St at 5th St,2193,2,Female,10/9/2017,18852,18
45,1 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),64,5th St at Brannan St,2436,2,Female,8/17/2018,7138,14
46,7 minutes,5,Powell St BART Station (Market St at 5th St),41,Golden Gate Ave at Polk St,3617,2,Male,10/18/2018,13255,38
47,8 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,626,1,Male,11/13/2018,15774,6
48,15 minutes,5,Powell St BART Station (Market St at 5th St),4,Cyril Magnin St at Ellis St,4719,1,Male,3/3/2020,4390,5
49,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),81,Berry St at 4th St,2125,3,Male,11/10/2017,13293,14
50,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,5374,2,Female,1/6/2021,13735,17
51,16 minutes,22,Howard St at Beale St,350,8th St at Brannan St,1310,2,Male,6/3/2018,18059,8
52,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,2531,2,Female,11/5/2021,913,7
53,14 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,1502,2,Female,11/9/2017,3980,14
54,12 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,1202,1,Male,4/28/2018,21117,24
55,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,377,2,Male,4/16/2017,24103,12
56,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),27,Beale St at Harrison St,3711,3,Male,3/20/2019,7225,3
57,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,2918,2,Female,3/19/2018,1160,39
58,10 minutes,81,Berry St at 4th St,6,The Embarcadero at Sansome St,5233,1,Male,2/12/2020,17857,5
59,10 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,507,2,Male,3/28/2021,10546,28
60,10 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,608,1,Male,9/12/2018,15984,13
61,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,157,1,Male,7/24/2021,5481,15
62,4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),28,The Embarcadero at Bryant St,4602,2,Female,6/22/2017,25370,2
63,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),9,Broadway at Battery St,181,2,Male,4/26/2019,12856,11
64,10 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,3715,2,Male,12/28/2020,7296,7
65,10 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,5392,2,Male,5/22/2021,11494,26
66,5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),28,The Embarcadero at Bryant St,1012,1,Female,4/22/2020,15909,26
67,19 minutes,5,Powell St BART Station (Market St at 5th St),70,Central Ave at Fell St,465,2,Male,11/16/2021,22738,5
68,19 minutes,3,Powell St BART Station (Market St at 4th St),55,Webster St at Grove St,3009,2,Female,5/14/2018,17990,23
69,20 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),377,Fell St at Stanyan St,5105,1,Male,4/26/2019,16669,4
70,38 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,5271,2,Male,6/11/2017,16830,19
71,9 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,5125,1,Male,3/9/2020,20153,5
72,13 minutes,5,Powell St BART Station (Market St at 5th St),370,Jones St at Post St,5373,2,Male,5/14/2019,9218,35
73,20 minutes,3,Powell St BART Station (Market St at 4th St),6,The Embarcadero at Sansome St,443,1,Female,9/16/2019,15535,15
74,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,1920,2,Male,7/13/2021,20953,38
75,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,316,2,Female,1/2/2019,1712,4
76,18 minutes,22,Howard St at Beale St,72,Page St at Scott St,5162,2,Female,4/23/2017,11866,32
77,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),64,5th St at Brannan St,1299,2,Male,5/28/2019,24762,35
78,15 minutes,16,Steuart St at Market St,90,Townsend St at 7th St,1547,2,Female,3/16/2020,7671,28
79,14 minutes,16,Steuart St at Market St,90,Townsend St at 7th St,3309,3,Male,10/16/2019,16960,6
80,22 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),365,Turk St at Fillmore St,3224,2,Female,11/8/2021,22444,34
81,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,4799,2,Male,9/9/2017,1678,1
82,4 minutes,3,Powell St BART Station (Market St at 4th St),47,4th St at Harrison St,5458,3,Male,9/11/2020,3808,34
83,12 minutes,21,Montgomery St BART Station (Market St at 2nd St),67,San Francisco Caltrain Station 2  (Townsend St at 4th St),2568,2,Male,3/10/2020,1945,2
84,79 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2684,1,Male,2/11/2020,11982,0
85,78 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2030,2,Male,8/10/2021,8368,27
86,80 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),323,Broadway at Kearny,2086,2,Male,2/4/2018,23215,32
87,5 minutes,5,Powell St BART Station (Market St at 5th St),62,Victoria Manalo Draves Park,1315,2,Male,11/4/2020,22662,28
88,6 minutes,81,Berry St at 4th St,130,22nd St Caltrain Station,5224,2,Female,6/27/2017,25183,32
89,11 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,192,2,Female,10/7/2021,20882,17
90,7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1159,2,Female,10/12/2020,15507,36
91,7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1602,3,Male,12/26/2021,3189,5
92,22 minutes,21,Montgomery St BART Station (Market St at 2nd St),139,Garfield Square (25th St at Harrison St),4716,1,Male,12/13/2017,1931,0
93,9 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,1465,1,Female,9/3/2017,18805,14
94,9 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,685,1,Female,11/3/2019,4036,29
95,10 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,3109,1,Female,5/17/2018,15303,22
96,6 minutes,5,Powell St BART Station (Market St at 5th St),88,11th St at Bryant St,4383,2,Male,3/19/2020,4485,3
97,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),370,Jones St at Post St,4960,1,Male,2/8/2021,8376,7
98,18 minutes,16,Steuart St at Market St,116,Mississippi St at 17th St,5262,1,Female,8/14/2018,3791,0
99,14 minutes,21,Montgomery St BART Station (Market St at 2nd St),355,23rd St at Tennessee St,4996,1,Male,2/13/2021,16184,21
100,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),77,11th St at Natoma St,4799,2,Male,11/23/2020,25667,26
101,10 minutes,3,Powell St BART Station (Market St at 4th St),75,Market St at Franklin St,1959,2,Male,11/5/2021,6547,17
102,11 minutes,3,Powell St BART Station (Market St at 4th St),75,Market St at Franklin St,5222,2,Male,2/15/2017,12884,32
103,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),60,8th St at Ringold St,5047,3,Male,12/14/2018,9016,11
104,10 minutes,81,Berry St at 4th St,345,Hubbell St at 16th St,2499,2,Male,11/5/2021,10734,1
105,19 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),52,McAllister St at Baker St,5518,2,Male,7/7/2020,24659,4
106,6 minutes,3,Powell St BART Station (Market St at 4th St),16,Steuart St at Market St,955,2,Male,4/10/2019,269,29
